dcb dgfceab cbfdeg edcf
acbfedg acbfg dfcaeg bfgca
bcfeg bcdgfae fga egacf
gdbca be egfacdb adcefbg
ecfda bfa fdgeab fadbcg
deafc fbdec gecdfa dfgcb
fbgecad egbcafd fdcag ed
befdcag dcbfg bcedf cfg
dbafg gdebca dbcaeg bdacfe
agfbe cgebd agcedb feagb
cebda ebcad dfe efd
gfba eadbfc efcabg dcgaef
edafgcb gebdca gd cegbdfa
decfg dbgcf fcb adefcb
gbedfca af gcfbd baf
gbfcad bgaced febdag debgca
cfagb fcdbga gaf fag
bedgacf bfag gdeaf gafb
gef ebfdgc gbecf efg
dbge decfa gecad cdfabg
acedb gbdeca daebc gdec
bafc bacf gfbaedc cgedab
adgfc deagcf ecgafd fbcag
cbfdg feg ef gef
bf bcgf ceadfg decba
fabec feadgcb edcbag ega
egbdaf ca bcaf dafbe
dgcbe eabcdf eba bcafgde
bgcfda cafgeb afegc fgace
abgced db dfbc bd
ebcgafd gdafbe cegabdf cgfaebd
abfgc dgbafe fcdag fcagd
fedbac egdfabc bdaecfg eabdfgc
adegbcf efag dfeabcg edbgcf
ed fed cbfgda fbceagd
fbgcda bcgaedf cgead gce
cebdf geb fedbc geb
deafcb aedcbgf fg fdcae
bfe decfab fcabde cbegdaf
gdfe ge acfed aebcfdg
ca ac ac gca
bdgef cf aecf cdf
gabe adcbgf gce fcabg
gfceda acgbd af ecgdbf
afbgc afcdbg acbgf ebcag
afce fe cefa egdbc
gd ceabd agbdec gebd
bcfedg bgae acefgd cefga
dfabgce da cafgbe ad
cefag cdgae fbdgec agcfe
gacef bgface bdgafc fbaec
adg ad aecgf bcgfd
gd dcfebag cdafbge gebfdac
bafgec gacfdb gdcebaf cdfgab
dbega eadcgf febdc cbdgeaf
fadc dgcefa ecgdbf acegf
baef gfe egf degcafb
bgfd fegadb bgdea acbfed
ad gcbaf dabgc gbedc
ebdac gae bceda dcageb
dcge cdge ecdg gbdcf
gda dag gbeacdf ag
dfb fgda bdf cdbgea
bg bgcdef dbge befgdc
dcbfg bdca cbgdf dgfcb
bfa gbdaecf ba adecf
ae becgf cead bfcea
ecd dc gfcbe adbfeg
fcadgb bgade fe fegadc
fcdebga fc caegdfb feadg
cdef fegdac fd agfeb
fda dfgce gfabce faedbg
gdb dagecf fbdgac dafgb
acb fbdeac abc agfebc
dfgc gefba cg aedcfb
cdfea fbgc fedcb ebfcdg
cd dc fcgbe deafg
edcgb fd fegbdac dcebf
fdgace gefadbc acbfd befa
decfa deag gcdfe ge
fa dbagce af af
becf gdeabfc dbfgcea efbgd
bcfa bf fb egfacb
fgae gaef cfeabd cfdbg
gebdcf efgdba gcfebd de
geacd ecbga de becadg
ef dcgbeaf fgcad faceg
afecb acbdfe efadgb cbgfead
bfc ecfdba adefb ecaf
bd bdg befdag dcfage
